Rank,Name,basename,Genre,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
20,Grand Theft Auto V,grand-theft-auto-v,Action,PS3,Rockstar Games,Rockstar North,9.4,20.32,6.37,9.85,0.99,2013
21,Grand Theft Auto V,grand-theft-auto-v,Action,PS4,Rockstar Games,Rockstar North,9.7,19.39,6.06,9.71,0.6,2014
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,PS2,Rockstar Games,Rockstar North,9.6,16.15,8.41,5.49,0.47,2002
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,X360,Activision,Infinity Ward,8.7,14.82,9.07,4.29,0.13,2011
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,X360,Activision,Treyarch,8.8,14.74,9.76,3.73,0.11,2010
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,PS4,Rockstar Games,Rockstar Games,9.8,13.94,5.26,6.21,0.21,2018
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,X360,Activision,Infinity Ward,9.5,13.53,8.54,3.63,0.08,2009
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,PS4,Activision,Sledgehammer Games,8.0,13.4,4.67,6.21,0.4,2017
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,PS3,Activision,Infinity Ward,8.8,13.35,5.54,5.78,0.49,2011
54,Grand Theft Auto III,grand-theft-auto-iii,Action,PS2,Rockstar Games,DMA Design,9.5,13.1,6.99,4.51,0.3,2001
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,PS3,Activision,Treyarch,8.7,12.67,6.01,4.4,0.48,2010
69,FIFA 18,fifa-18,Sports,PS4,EA Sports,EA Vancouver,8.3,11.8,1.27,8.64,0.15,2017
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,X360,Rockstar Games,Rockstar North,10.0,11.09,6.8,3.11,0.14,2008
77,FIFA 17,fifa-17,Sports,PS4,Electronic Arts,EA Canada,8.9,10.94,1.26,7.95,0.12,2016
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,PS3,Activision,Infinity Ward,9.5,10.61,4.99,3.66,0.38,2009
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,PS3,Rockstar Games,Rockstar North,10.0,10.57,4.79,3.73,0.44,2008
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,X360,Activision,Infinity Ward,6.9,10.41,6.76,2.64,0.04,2013
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,PS3,Activision,Infinity Ward,7.5,10.13,4.11,4.01,0.39,2013
88,Halo: Reach,halo-reach,Shooter,X360,Microsoft Game Studios,Bungie,9.3,9.97,7.08,2.01,0.08,2010
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,X360,Activision,Infinity Ward,9.6,9.41,5.98,2.39,0.13,2007
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,2.83,0.1,2011
108,Grand Theft Auto V,grand-theft-auto-v,Action,XOne,Rockstar Games,Rockstar North,9.0,8.72,4.7,3.25,0.01,2014
114,Fallout 4,fallout-4,Role-Playing,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,3.97,0.27,2015
119,FIFA 16,fifa-16,Sports,PS4,EA Sports,EA Canada,8.5,8.22,1.15,5.77,0.07,2015
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,PS4,Electronic Arts,EA DICE,7.1,8.03,3.31,3.19,0.23,2015
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,PSP,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,2.83,0.24,2005
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,PS,Sony Computer Entertainment,Naughty Dog,8.6,7.58,3.78,2.17,1.31,1997
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,PS4,Activision,Sledgehammer Games,8.5,7.53,2.84,3.34,0.14,2014
136,Battlefield 3,battlefield-3,Shooter,X360,Electronic Arts,Dice,8.5,7.35,4.47,2.12,0.06,2011
139,Battlefield 3,battlefield-3,Shooter,PS3,Electronic Arts,Dice,8.5,7.21,2.86,2.94,0.35,2011
140,Need for Speed Underground,need-for-speed-underground,Racing,PS2,Electronic Arts,EA Black Box,8.6,7.2,3.27,2.83,0.08,2003
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,PS,Sony Computer Entertainment,Naughty Dog,9.3,7.13,3.68,1.75,1.42,1998
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,PS2,Electronic Arts,EA Black Box,8.3,6.9,2.71,3.02,0.08,2004
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.84,2.77,2.81,0.19,2011
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,PS2,Electronic Arts,EA Los Angeles,9.0,6.83,2.93,2.75,0.17,2002
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,PS3,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,2.22,0.21,2009
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,PS3,Activision,Infinity Ward,9.5,6.72,3.13,2.27,0.28,2007
154,FIFA Soccer 12,fifa-soccer-12,Sports,PS3,EA Sports,EA Canada,9.2,6.65,0.84,4.33,0.11,2011
156,Red Dead Redemption,red-dead-redemption,Action,PS3,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,2.58,0.17,2011
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,PS3,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,2.61,0.16,2012
