Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,PS3,Rockstar Games,Rockstar North,20.32,6.37,9.85,0.99,2013
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,PS4,Rockstar Games,Rockstar North,19.39,6.06,9.71,0.6,2014
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,PS2,Rockstar Games,Rockstar North,16.15,8.41,5.49,0.47,2002
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,X360,Rockstar Games,Rockstar North,15.86,9.06,5.33,0.06,2013
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,PS4,Activision,Treyarch,15.09,6.18,6.05,0.41,2015
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,X360,Activision,Infinity Ward,14.82,9.07,4.29,0.13,2011
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,X360,Activision,Treyarch,14.74,9.76,3.73,0.11,2010
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,13.94,5.26,6.21,0.21,2018
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,X360,Activision,Treyarch,13.86,8.27,4.32,0.07,2012
48,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,PS3,Activision,Treyarch,13.8,4.99,5.88,0.65,2012
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,X360,Activision,Infinity Ward,13.53,8.54,3.63,0.08,2009
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,PS4,Activision,Sledgehammer Games,13.4,4.67,6.21,0.4,2017
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,PS3,Activision,Infinity Ward,13.35,5.54,5.78,0.49,2011
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,PS2,Rockstar Games,DMA Design,13.1,6.99,4.51,0.3,2001
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,PS3,Activision,Treyarch,12.67,6.01,4.4,0.48,2010
69,FIFA 18,fifa-18,Sports,E,PS4,EA Sports,EA Vancouver,11.8,1.27,8.64,0.15,2017
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,X360,Rockstar Games,Rockstar North,11.09,6.8,3.11,0.14,2008
77,FIFA 17,fifa-17,Sports,E,PS4,Electronic Arts,EA Canada,10.94,1.26,7.95,0.12,2016
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,PS3,Activision,Infinity Ward,10.61,4.99,3.66,0.38,2009
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,PS3,Rockstar Games,Rockstar North,10.57,4.79,3.73,0.44,2008
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,X360,Activision,Infinity Ward,10.41,6.76,2.64,0.04,2013
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,PS3,Activision,Infinity Ward,10.13,4.11,4.01,0.39,2013
88,Halo: Reach,halo-reach,Shooter,M,X360,Microsoft Game Studios,Bungie,9.97,7.08,2.01,0.08,2010
90,Halo 4,halo-4,Shooter,M,X360,Microsoft Studios,343 Industries,9.96,6.72,2.36,0.04,2012
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,X360,Activision,Infinity Ward,9.41,5.98,2.39,0.13,2007
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,PS4,Activision,Treyarch,9.32,4.05,3.28,0.5,2018
101,FIFA 19,fifa-19,Sports,E,PS4,Electronic Arts,EA Sports,9.15,0.84,6.87,0.1,2018
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,8.88,5.1,2.83,0.1,2011
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,XOne,Rockstar Games,Rockstar North,8.72,4.7,3.25,0.01,2014
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,M,PS4,Activision,Infinity Ward,8.48,3.11,3.83,0.19,2016
114,Fallout 4,fallout-4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.48,2.91,3.97,0.27,2015
119,FIFA 16,fifa-16,Sports,E,PS4,EA Sports,EA Canada,8.22,1.15,5.77,0.07,2015
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,T,PS4,Electronic Arts,EA DICE,8.03,3.31,3.19,0.23,2015
122,FIFA 13,fifa-13,Sports,E,PS3,EA Sports,EA Canada,8.01,1.07,5.13,0.13,2012
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,7.72,2.9,2.83,0.24,2005
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,7.58,3.78,2.17,1.31,1997
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,PS4,Activision,Sledgehammer Games,7.53,2.84,3.34,0.14,2014
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,XOne,Activision,Treyarch,7.37,4.63,2.04,0.02,2015
136,Battlefield 3,battlefield-3,Shooter,M,X360,Electronic Arts,Dice,7.35,4.47,2.12,0.06,2011
138,Battlefield 1,battlefield-1,Shooter,M,PS4,Electronic Arts,EA DICE,7.26,2.2,3.65,0.29,2016
139,Battlefield 3,battlefield-3,Shooter,M,PS3,Electronic Arts,Dice,7.21,2.86,2.94,0.35,2011
140,Need for Speed Underground,need-for-speed-underground,Racing,E,PS2,Electronic Arts,EA Black Box,7.2,3.27,2.83,0.08,2003
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,7.13,3.68,1.75,1.42,1998
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,E,PS2,Electronic Arts,EA Black Box,6.9,2.71,3.02,0.08,2004
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,6.84,2.77,2.81,0.19,2011
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,PS2,Electronic Arts,EA Los Angeles,6.83,2.93,2.75,0.17,2002
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,6.74,3.28,2.22,0.21,2009
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,PS3,Activision,Infinity Ward,6.72,3.13,2.27,0.28,2007
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,PS3,EA Sports,EA Canada,6.65,0.84,4.33,0.11,2011
155,FIFA 14,fifa-14,Sports,E,PS3,EA Sports,EA Canada,6.61,0.79,4.77,0.07,2013
156,Red Dead Redemption,red-dead-redemption,Action,M,PS3,Rockstar Games,Rockstar San Diego,6.57,2.82,2.58,0.17,2011
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,6.5,2.65,2.61,0.16,2012
161,Red Dead Redemption,red-dead-redemption,Action,M,X360,Rockstar Games,Rockstar San Diego,6.5,3.77,2.03,0.09,2010
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,6.49,2.57,2.68,0.25,2011
166,Halo 3: ODST,halo-3-odst,Shooter,M,X360,Microsoft Game Studios,Bungie,6.35,4.34,1.34,0.06,2009
167,Minecraft,minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,6.33,1.89,3.13,0.35,2014
168,FIFA 15,fifa-15,Sports,E,PS4,EA Sports,EA Canada,6.32,0.83,4.49,0.05,2014
171,The Last of Us,the-last-of-us,Action-Adventure,M,PS3,Sony Computer Entertainment America,Naughty Dog,6.27,2.41,2.57,0.29,2013
172,Driver,driver,Action,T,PS,GT Interactive,Reflections Interactive,6.27,3.11,2.8,0.02,1999
174,God of War (2018),god-of-war-2018,Action,M,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,6.15,2.83,2.17,0.13,2018
