Rank,Name,basename,Genre,Platform,Publisher,Developer,Year,Global_Sales,NA_Sales,PAL_Sales,JP_Sales
20,Grand Theft Auto V,grand-theft-auto-v,Action,PS3,Rockstar Games,Rockstar North,2013,20.32,6.37,9.85,0.99
21,Grand Theft Auto V,grand-theft-auto-v,Action,PS4,Rockstar Games,Rockstar North,2014,19.39,6.06,9.71,0.6
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,PS2,Rockstar Games,Rockstar North,2002,16.15,8.41,5.49,0.47
33,Grand Theft Auto V,grand-theft-auto-v,Action,X360,Rockstar Games,Rockstar North,2013,15.86,9.06,5.33,0.06
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,PS4,Activision,Treyarch,2015,15.09,6.18,6.05,0.41
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,X360,Activision,Infinity Ward,2011,14.82,9.07,4.29,0.13
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,X360,Activision,Treyarch,2010,14.74,9.76,3.73,0.11
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,PS4,Rockstar Games,Rockstar Games,2018,13.94,5.26,6.21,0.21
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,X360,Activision,Treyarch,2012,13.86,8.27,4.32,0.07
48,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,PS3,Activision,Treyarch,2012,13.8,4.99,5.88,0.65
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,X360,Activision,Infinity Ward,2009,13.53,8.54,3.63,0.08
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,PS4,Activision,Sledgehammer Games,2017,13.4,4.67,6.21,0.4
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,PS3,Activision,Infinity Ward,2011,13.35,5.54,5.78,0.49
54,Grand Theft Auto III,grand-theft-auto-iii,Action,PS2,Rockstar Games,DMA Design,2001,13.1,6.99,4.51,0.3
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,PS3,Activision,Treyarch,2010,12.67,6.01,4.4,0.48
69,FIFA 18,fifa-18,Sports,PS4,EA Sports,EA Vancouver,2017,11.8,1.27,8.64,0.15
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,X360,Rockstar Games,Rockstar North,2008,11.09,6.8,3.11,0.14
77,FIFA 17,fifa-17,Sports,PS4,Electronic Arts,EA Canada,2016,10.94,1.26,7.95,0.12
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,PS3,Activision,Infinity Ward,2009,10.61,4.99,3.66,0.38
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,PS3,Rockstar Games,Rockstar North,2008,10.57,4.79,3.73,0.44
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,X360,Activision,Infinity Ward,2013,10.41,6.76,2.64,0.04
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,PS3,Activision,Infinity Ward,2013,10.13,4.11,4.01,0.39
88,Halo: Reach,halo-reach,Shooter,X360,Microsoft Game Studios,Bungie,2010,9.97,7.08,2.01,0.08
90,Halo 4,halo-4,Shooter,X360,Microsoft Studios,343 Industries,2012,9.96,6.72,2.36,0.04
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,X360,Activision,Infinity Ward,2007,9.41,5.98,2.39,0.13
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,PS4,Activision,Treyarch,2018,9.32,4.05,3.28,0.5
101,FIFA 19,fifa-19,Sports,PS4,Electronic Arts,EA Sports,2018,9.15,0.84,6.87,0.1
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,2011,8.88,5.1,2.83,0.1
108,Grand Theft Auto V,grand-theft-auto-v,Action,XOne,Rockstar Games,Rockstar North,2014,8.72,4.7,3.25,0.01
113,Call of Duty: Infinite Warfare,call-of-duty-infinite-warfare,Shooter,PS4,Activision,Infinity Ward,2016,8.48,3.11,3.83,0.19
114,Fallout 4,fallout-4,Role-Playing,PS4,Bethesda Softworks,Bethesda Game Studios,2015,8.48,2.91,3.97,0.27
119,FIFA 16,fifa-16,Sports,PS4,EA Sports,EA Canada,2015,8.22,1.15,5.77,0.07
121,Star Wars Battlefront (2015),star-wars-battlefront-2015,Shooter,PS4,Electronic Arts,EA DICE,2015,8.03,3.31,3.19,0.23
122,FIFA 13,fifa-13,Sports,PS3,EA Sports,EA Canada,2012,8.01,1.07,5.13,0.13
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,PSP,Rockstar Games,Rockstar Leeds,2005,7.72,2.9,2.83,0.24
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,PS,Sony Computer Entertainment,Naughty Dog,1997,7.58,3.78,2.17,1.31
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,PS4,Activision,Sledgehammer Games,2014,7.53,2.84,3.34,0.14
135,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,XOne,Activision,Treyarch,2015,7.37,4.63,2.04,0.02
136,Battlefield 3,battlefield-3,Shooter,X360,Electronic Arts,Dice,2011,7.35,4.47,2.12,0.06
138,Battlefield 1,battlefield-1,Shooter,PS4,Electronic Arts,EA DICE,2016,7.26,2.2,3.65,0.29
139,Battlefield 3,battlefield-3,Shooter,PS3,Electronic Arts,Dice,2011,7.21,2.86,2.94,0.35
140,Need for Speed Underground,need-for-speed-underground,Racing,PS2,Electronic Arts,EA Black Box,2003,7.2,3.27,2.83,0.08
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,PS,Sony Computer Entertainment,Naughty Dog,1998,7.13,3.68,1.75,1.42
145,Need for Speed Underground 2,need-for-speed-underground-2,Racing,PS2,Electronic Arts,EA Black Box,2004,6.9,2.71,3.02,0.08
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,PS3,Sony Computer Entertainment,Naughty Dog,2011,6.84,2.77,2.81,0.19
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,PS2,Electronic Arts,EA Los Angeles,2002,6.83,2.93,2.75,0.17
152,Uncharted 2: Among Thieves,uncharted-2-among-thieves,Action,PS3,Sony Computer Entertainment,Naughty Dog,2009,6.74,3.28,2.22,0.21
153,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,PS3,Activision,Infinity Ward,2007,6.72,3.13,2.27,0.28
154,FIFA Soccer 12,fifa-soccer-12,Sports,PS3,EA Sports,EA Canada,2011,6.65,0.84,4.33,0.11
155,FIFA 14,fifa-14,Sports,PS3,EA Sports,EA Canada,2013,6.61,0.79,4.77,0.07
156,Red Dead Redemption,red-dead-redemption,Action,PS3,Rockstar Games,Rockstar San Diego,2011,6.57,2.82,2.58,0.17
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,PS3,Ubisoft,Ubisoft Montreal,2012,6.5,2.65,2.61,0.16
161,Red Dead Redemption,red-dead-redemption,Action,X360,Rockstar Games,Rockstar San Diego,2010,6.5,3.77,2.03,0.09
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,PS3,Bethesda Softworks,Bethesda Game Studios,2011,6.49,2.57,2.68,0.25
166,Halo 3: ODST,halo-3-odst,Shooter,X360,Microsoft Game Studios,Bungie,2009,6.35,4.34,1.34,0.06
167,Minecraft,minecraft,Misc,PS4,Sony Computer Entertainment,Mojang,2014,6.33,1.89,3.13,0.35
168,FIFA 15,fifa-15,Sports,PS4,EA Sports,EA Canada,2014,6.32,0.83,4.49,0.05
171,The Last of Us,the-last-of-us,Action-Adventure,PS3,Sony Computer Entertainment America,Naughty Dog,2013,6.27,2.41,2.57,0.29
172,Driver,driver,Action,PS,GT Interactive,Reflections Interactive,1999,6.27,3.11,2.8,0.02
174,God of War (2018),god-of-war-2018,Action,PS4,Sony Interactive Entertainment,SIE Santa Monica Studio,2018,6.15,2.83,2.17,0.13
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,PS2,Konami,Konami Computer Entertainment Japan,2001,6.05,2.45,2.01,0.87
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,PS3,Konami,Kojima Productions,2008,6.0,2.63,1.72,0.83
185,LittleBigPlanet,littlebigplanet,Platform,PS3,Sony Computer Entertainment,Media Molecule,2008,5.85,2.8,2.01,0.17
191,Destiny,destiny,Shooter,PS4,Activision,Bungie,2014,5.76,2.53,2.13,0.16
193,Tekken 2,tekken-2,Fighting,PS,Namco,Namco,1996,5.74,2.26,1.89,1.36
194,Uncharted: The Nathan Drake Collection,uncharted-the-nathan-drake-collection,Action,PS4,Sony Computer Entertainment,Bluepoint Games,2015,5.7,2.55,2.11,0.1
197,Cooking Mama,cooking-mama,Simulation,DS,Majesco,Office Create,2006,5.66,3.09,1.92,0.07
201,Assassin's Creed II,assassins-creed-ii,Action,PS3,Ubisoft,Ubisoft Montreal,2009,5.57,2.54,1.95,0.21
203,Assassin's Creed,assassins-creed,Action,X360,Ubisoft,Ubisoft Montreal,2007,5.55,3.28,1.64,0.07
204,Batman: Arkham City,batman-arkham-city,Action,PS3,Warner Bros. Interactive,Rocksteady Studios,2011,5.54,2.72,1.89,0.11
205,Forza Motorsport 3,forza-motorsport-3,Racing,X360,Microsoft Game Studios,Turn 10 Studios,2009,5.5,2.99,1.9,0.1
215,Crash Bandicoot: The Wrath of Cortex,crash-bandicoot-the-wrath-of-cortex,Platform,PS2,Universal Interactive,Traveller's Tales,2001,5.42,2.07,2.29,0.24
216,The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,Role-Playing,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,2015,5.39,1.48,2.82,0.28
217,Final Fantasy XIII,final-fantasy-xiii,Role-Playing,PS3,Square Enix,Square Enix,2010,5.35,1.75,1.23,1.87
221,Assassin's Creed III,assassins-creed-iii,Action-Adventure,X360,Ubisoft,Ubisoft Montreal,2012,5.31,3.13,1.71,0.03
223,Assassin's Creed II,assassins-creed-ii,Action,X360,Ubisoft,Ubisoft Montreal,2009,5.3,3.14,1.55,0.08
228,Tomb Raider II,tomb-raider-ii,Adventure,PS,Eidos Interactive,Core Design Ltd.,1997,5.24,2.3,2.46,0.2
229,Madden NFL 2004,madden-nfl-2004,Sports,PS2,EA Sports,EA Tiburon,2003,5.23,4.26,0.26,0.01
230,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,XOne,Activision,Sledgehammer Games,2014,5.22,3.25,1.49,0.01
238,Medal of Honor: Rising Sun,medal-of-honor-rising-sun,Shooter,PS2,Electronic Arts,EA Los Angeles,2003,5.13,1.98,2.23,0.13
239,Battlefield 1,battlefield-1,Shooter,XOne,Electronic Arts,EA DICE,2016,5.13,3.37,1.26,0.02
243,FIFA 13,fifa-13,Sports,X360,EA Sports,EA Canada,2012,5.11,1.1,3.49,0.03
244,Resident Evil 5,resident-evil-5,Action,PS3,Capcom,Capcom,2009,5.1,1.96,1.42,1.08
245,Fable III,fable-iii,Role-Playing,X360,Microsoft Game Studios,Lionhead Studios,2010,5.1,3.59,1.09,0.05
246,Mario & Sonic at the Olympic Games,mario-amp-sonic-at-the-olympic-games,Sports,DS,Sega,Sega,2008,5.1,1.63,2.46,0.44
247,Grand Theft Auto: Vice City Stories,grand-theft-auto-vice-city-stories,Action,PSP,Rockstar Games,Rockstar Leeds,2006,5.08,1.7,2.03,0.16
248,FIFA Soccer 11,fifa-soccer-11,Sports,PS3,EA Sports,EA Canada,2010,5.08,0.61,3.28,0.06
250,Final Fantasy XV,final-fantasy-xv,Role-Playing,PS4,Square Enix,Square Enix,2016,5.07,1.81,1.53,1.05
251,Fallout 4,fallout-4,Role-Playing,XOne,Bethesda Softworks,Bethesda Game Studios,2015,5.03,2.94,1.62,0.02
252,Tony Hawk's Pro Skater,tony-hawks-pro-skater,Sports,PS,Activision,Neversoft Entertainment,1999,5.02,3.42,1.38,0.02
254,Spyro the Dragon,spyro-the-dragon,Platform,PS,Sony Computer Entertainment,Insomniac Games,1998,5.0,3.36,1.36,0.07
261,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,PS2,RedOctane,BudCat Creations,2007,4.98,3.49,0.01,0.01
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,Action,PS3,Sony Computer Entertainment,Naughty Dog,2007,4.97,2.32,1.73,0.12
264,Fallout 3,fallout-3,Role-Playing,X360,Bethesda Softworks,Bethesda Game Studios,2008,4.96,3.41,0.99,0.09
266,Madden NFL 06,madden-nfl-06,Sports,PS2,EA Sports,EA Tiburon,2005,4.91,3.98,0.26,0.01
274,Crash Bandicoot N. Sane Trilogy,crash-bandicoot-n-sane-trilogy,Platform,PS4,Activision,Vicarious Visions,2017,4.83,1.09,2.92,0.07
275,Assassin's Creed,assassins-creed,Action,PS3,Ubisoft,Ubisoft Montreal,2007,4.83,1.91,2.01,0.09
277,Crash Team Racing,crash-team-racing,Racing,PS,Sony Computer Entertainment,Naughty Dog,1999,4.79,2.57,1.57,0.44
280,Batman: Arkham City,batman-arkham-city,Action,X360,Warner Bros. Interactive,Rocksteady Studios,2011,4.75,2.99,1.28,0.04
281,Driver 2,driver-2,Action,PS,Atari,Reflections Interactive,2000,4.73,2.36,2.1,0.02
284,Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,Sports,PS,Activision,Neversoft Entertainment,2000,4.68,3.05,1.41,0.02
285,Monster Hunter: World,monster-hunter-world,Action,PS4,Capcom,Capcom,2018,4.67,1.03,1.06,2.17
287,The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,Action,PS2,Electronic Arts,Stormfront Studios,2002,4.67,1.94,1.95,0.08
288,Tomb Raider,tomb-raider,Action,PS,Eidos Interactive,Core Design Ltd.,1996,4.63,2.29,1.97,0.13
291,Forza Motorsport 4,forza-motorsport-4,Racing,X360,Microsoft Studios,Turn 10 Studio,2011,4.6,2.08,1.98,0.06
292,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,Wii,RedOctane,Vicarious Visions,2007,4.6,3.04,1.12,0.0
293,"Pokemon: Let's Go, Pikachu!"," pikachu""",Role-Playing,NS,Nintendo,Game Freak,2018,4.57,2.16,1.24,0.82
296,FIFA 15,fifa-15,Sports,PS3,EA Sports,EA Canada,2014,4.56,0.59,3.25,0.04
297,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,Wii,Sega,Sega,2009,4.54,1.87,1.97,0.22
298,Overwatch,overwatch,Shooter,PS4,Blizzard Entertainment,Blizzard Entertainment,2016,4.54,1.84,1.8,0.17
299,Madden NFL 2005,madden-nfl-2005,Sports,PS2,EA Sports,EA Tiburon,2004,4.53,4.18,0.26,0.01
300,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,X360,RedOctane,Neversoft,2007,4.53,3.19,0.91,0.01
301,Star Wars Battlefront II (2017),star-wars-battlefront-ii-2017,Shooter,PS4,Electronic Arts,EA DICE,2017,4.53,1.7,1.99,0.12
310,Madden NFL 07,madden-nfl-07,Sports,PS2,EA Sports,EA Tiburon,2006,4.49,3.63,0.24,0.01
311,Spider-Man: The Movie,spider-man-the-movie,Action,PS2,Activision,Treyarch,2002,4.48,2.71,1.51,0.03
313,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,X360,Take-Two Interactive,Bethesda Softworks,2009,4.47,2.89,1.03,0.13
315,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,PS2,Activision,Neversoft Entertainment,2001,4.41,2.66,1.29,0.01
316,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,2007,4.39,0.1,2.39,1.05
318,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,Wii,Ubisoft,Ubisoft Montpellier,2010,4.37,2.64,1.33,0.01
319,Tom Clancy's The Division,tom-clancys-the-division,Shooter,PS4,Ubisoft,Massive Entertainment,2016,4.37,1.49,2.04,0.16
320,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,PS2,Electronic Arts,EA Canada,2005,4.37,2.03,1.79,0.08
321,Resistance: Fall of Man,resistance-fall-of-man,Shooter,PS3,Sony Computer Entertainment,Insomniac Games,2006,4.37,1.74,1.72,0.14
322,Tom Clancy's Rainbow Six: Siege,tom-clancys-rainbow-six-siege,Shooter,PS4,Ubisoft,Ubisoft Montreal,2015,4.36,1.29,2.06,0.36
323,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,X360,Activision,High Moon Studios,2014,4.34,2.81,1.13,0.0
